,Account,Post,Tag,Likes,Comments
76,elisabethtrision,"Gendat...
Mungkin kakak hanya 2 tahun berteman baik sama kamu. Tapi 2 tahun ini, kamu benar-benar menjadi sahabat maupun adik bagiku..
Intan yang gak selalu dukung pilihan kakak, kamu pasti mikir kedepannya dulu gimana baru di-iya-kan maupun di-enggak-kan. Intan yang pernah nampar pipi kiri kakak di depan orang banyak, intan yang gak pernah berhenti semangatin kakak buat deketin fajar (walaupun dia juga nebeng centilnya), intan yang nyuruh kakak bolos kerja kalo mau main, kita juga sering tukeran baju (bahkan baju yang kau pakai sekarang pernah kakak pake dat).. pokoknya intan the best banget carenya buat kakak dan kita sama sekali gak pernah musuhan maupun salah paham 
Maaf kalo kakak punya salah sama gendat ya, kakak udah lakuin segala usaha buat gendat sembuh tapi Tuhan Yesus lebih sayang gendat..
Terima kasih gendatku untuk segalanya
Selamat kembali kerumah Bapa di Surga, Intan Marissa Ariessandra br. Sihombing (23031995-14102017)
Amsal 17:17- Seorang sahabat menaruh kasih setiap waktu, dan menjadi seorang saudara dalam kesukaran.
Kalis sayang gendat. Sayang sekali 
-video terakhir, permintaan gendat terakhir pas sakit kak bilangin bang fajar nyanyiin Let it be pake gitar dong buat gue. Gue mau ngerasain di romantisin sama bang fajar.-",[],460,"['', 'Turut berduka ibet @elisabethtrision', 'Merinding bacanya  turut berduka cita']"
77,elisabethtrision,"Mungkin kalian ada yang beranggapan berlebihan sekali, anjing saja dirayakan ulang tahunnya. Tapi bagi kami tidak. Ulang tahun mereka kami rayakan tiap tahunnya.. Kenapa? Karena mereka adalah bagian dari keluarga kami.. Selamat ulang tahun, Bung 6th & Bing 5th! We love you ",[],422,"['Wahh, Anjing....nya  keren', 'Wah belum nyalon dia... ', 'Si bibing abis mandi langsung foto tuh yaa? Lupa sisiran dia kak wkwkkw', 'kapan nih makan2nya?', 'Bibing ga rindu sama namboru ? ', 'Wah lilinnya bagus. Panjang lagi', 'Senyumnya itu ']"
78,elisabethtrision,"#Repost @jakartaanimalaidnetwork

There is NO living creature on this earth that likes to be caged/chained!
Be a responsible pet owner & treat your pet as part of the family, no excuse! Lets say your pet is caged/chained for whatever reason but you think its okay because you let your pet out every morning & evening for a couple of hours. So maybe in total your pet is out of the cage for 3 hours (1.5 hours in the morning & 1.5 in the evening). What about the remaining 21 hours!? What about for those who are caged/ chained 24/7!
''Yes but my pet loves its cage'' Really!? ''He always goes back voluntarily!'' He is probably insecure & not well socialized.
Have you ever thought about it how it would be, if you are confined the whole day, every day & thats what your life is like?
People can entertain themselves in so many ways, meet friends, watch a movie, play games. Your pet only has YOU. Please be a responsible pet owner & give them the life the deserve!
-
TIDAK ADA satu makhluk hidup di dunia ini yang suka dikurung/dirantai!
Jadilah pemilik hewan bertanggunng jawab dan perlakukan peliharaan anda seperti keluarga. Tidak ada pengecualian! Anggaplah anda mengurung atau merantai hewan peliharaan anda apapun alasannya dan anda pikir tidak masalah karena anda membebaskan mereka setiap pagi dan malam selama beberapa jam. Jadi anggaplah total hewan anda berada di luar kandang selama 3 jam (1.5 jam pagi hari dan 1.5 malam hari). Lalu bagaimana sisa 21 jam nya? Bagaimana pula nasib hewan-hewan yang dikandang 24/7!
""Nggak kok hewan saya suka kandangnya"" Masa sih?
""Dia suka masuk sendiri ke kandangnya"" Bisa jadi karena dia tidak percaya diri dan tidak disosialisasikan dengan baik.
Pernahkan anda berpikir bagaimana rasanya terkurung sepanjang hari, setiap hari dan begitulah hidup anda?
Manusia bisa menghibur diri mereka dengan bertemu teman-teman, nonton film, main game. Sedangkan hewan peliharaan anda hanya memiliki ANDA. jadilah pemilik hewan bertanggung jawa  dan berilah kehidupan layak yang mereka butuhkan!
-
#dogsarefamily #petsarefamily #wildlifearenotpets #education #edukasi #empathy #respect #responsibility #jakartaanimalaidnetwork #adoptdontshop #anim","['repost', 'dogsarefamily', 'petsarefamily', 'wildlifearenotpets', 'education', 'edukasi', 'empathy', 'respect', 'responsibility', 'jakartaanimalaidnetwork', 'adoptdontshop', 'anim']",26,[]
79,elisabethtrision,swag squad ,[],423,"['', '']"
80,elisabethtrision,"Love when you're ready, not when you're lonely... And now, i'm ready to love more animals ",[],438,"['Mirip', '@hendrik.fernando tq. gak di love?', '@elisabethtrision udh dipencet,tp gak ke love hehe', 'Udah dipencet kak, ga ke love', '@riandiverdi jahat', 'Aku dibilang jahat mulu huu @elisabethtrision', 'gak kena eeknya?', 'Kok muka lu mirip seseorang yah.. ngeselin deh bet muka lu ']"
81,elisabethtrision,humans..........,[],36,['Hooomaaanss']
82,elisabethtrision,,[],484,"['First like dapet apa nih kak?', '@reginaangelk sayang sekali bukan first like ', 'Cantiknya aku ', 'Apaan sih bang @hosrico']"
83,elisabethtrision,ter-ngaret ,[],328,['Kok fotonya gelap ya']
84,elisabethtrision,Welcoming 2017 with big smile :) Papua,[],307,"['Jalan terush', '@bellamntss kamu juga kann  selamat natal & tahun baru ya beya ', 'Uwwwww ']"
85,elisabethtrision,kakak cantik  dedek gemes,[],232,"['Kaya ade nya sari', 'bunda dan miss', 'Leh uga', 'bidadari kuu', 'Hmm', 'Wadawwwwwwww', 'Emmmm ...', 'Uhh']"
86,elisabethtrision,,[],116,[]
87,elisabethtrision,"#Repost: @wwf_id

 Selamat Hari Pahlawan!

Mari, jadi pahlawan bagi lingkunganmu! Mulailah dari diri kita sendiri dengan menerapkan gaya hidup hijau, meningkatkan segala hal yang berkelanjutan, serta sebarkan perilaku ini ke keluarga, teman-teman dan lingkungan sekitar. #HariPahlawan ","['repost', 'haripahlawan']",136,[]
88,elisabethtrision,"I Proudly Supporting WWF 
Thanks for the gift @wwf_id .
.
.
#wwf #wwf_id #supporterwwf #tigerwarrior #orangutanwarrior","['wwf', 'wwf_id', 'supporterwwf', 'tigerwarrior', 'orangutanwarrior']",141,['Terima kasih @elisabethtrision sudah menjadi supporter WWF!']
89,elisabethtrision,terealisasi sudah ,[],65,"['', 'makanya jagan sombong @hendrik.fernando', '@elisabethtrision enggak sombong kok kakak ']"
90,elisabethtrision,"Blessed 5 years with brownie's bubung & 4 years with blackinwhite's bibing. 
Thanks for everything jagoan kakak ",[],113,"['Cute', 'Mukanya mupeng banget wkwkwk', 'mukanya pengen banget wkwkwk']"
91,elisabethtrision,Movies addict squad without kenken ,[],50,"['Saya juga hobi nonton. Ada open qualifier ga buat masuk squad nya? :D', 'seru ga kaa filmnyaa', '@knasaor haha bisa bisa ntar ikutan aja ya kalo mau nonton ', '@bellamntss semua film juga seru de, tergantung temen nontonnya ']"
92,elisabethtrision,"Thanks for the love 
See you next year, July ",[],127,"['Love pertama wkwk', '@hendrik.fernando tapi dia yang pertama di hati aku', 'Iya kak iya -_-', 'Aku kak ? ', '@sarahdeby coba cari ada muka mu ga di foto ini? ', 'Kak main yuu', 'Nanti kita buat foto kita ya kak. Sama tulang mu. Tulang mu ?  @elisabethtrision', '@wednesdyroulina kuyyy!!! Jumat malam? Minggu siang? Jadwal liburmu kan itu~ haha', '@sarahdeby tulang ku? Kamu aja yang ajak, ku gak sanggup ', 'Gagal romantis sih emg yg kanan kedua wkwk', 'Skrg juga boleee wkkw minggu siangg uga bisaaa hhahaha', 'dirumah gw emg ngerayain ultah elu lis? kan mo pesta bujang sih~ ', '@megajvh gpp anti mainstream. @wednesdyroulina kuy minggu yaajak si gendat. @rolasputrifebriyani yang bilang rayain ultah gue siapa put? Di love dulu lah', 'Minta bantuan dong bagi temen temen dari kak lilis bantu like ig aku ya foto terbaru aku yg pengenalan kampus, makasih ya :)']"
93,elisabethtrision,Karena gak semua laki korea joget2 lenjeh  #Take_Me_Now #FTISLAND 6th Album Release #160718,"['take_me_now', 'ftisland', '160718']",25,[]
94,elisabethtrision,beloved,[],56,"['Hahha itu foto yg versi kungfu keren amat ', 'Ntaps']"
95,elisabethtrision,yaya di buyyiiiii ,[],62,"['First like dapet apa nihh ?', 'Nonton lah kuuuy', '@darmonsiahaann dapet kiss dari aku // @handilanlon naq bandunk di bekazi ga tuh?', 'Dapet nonton gratis aja lah kak wkwk', 'Atur ae tglnya sis wkwkwk', 'Si @darmonsiahaann masih polos kaa,wkwk']"
96,elisabethtrision,"JUST LOOK AT HER TEARS, I CAN FEEL HER PAIN AND I KNOW SHE REALLY GRIN & BEAR IT. 

Gajah ini berusia 40 tahun, namanya Yani. Biasanya usia Gajah Kebun binatang itu 70 tahun. Usia Yani masih panjang, masih produktif. ""Pawang sudah bersiap menunggu ajal Yani. Setiap hari tidur di dekat kandang takutnya Yani mati. Kasihan Yani, tiap hari dia mengerang kesakitan, kondisinya sangat mengkhawatirkan. Kulit bagian kanan badannya hampir mengelupas lantaran selama seminggu hanya terbaring di atas jerami"". ujar seorang sumber.

Tak terurusnya kesehatan Yani menjadi secuil bukti tak profesionalnya pengelolaan di Kebun Binatang Bandung. Dia mengatakan, sejak tahun lalu, pengelola kebun bintang telah membekukan bagian kesehatan. Hal tersebut membuat kondisi kesehatan hewan tak terurus dan cenderung memprihatinkan. ""Sekarang tidak ada dokter hewan, bagian kesehatan hewan dibekukan dari tahun kemarin,"" katanya.

Tanpa adanya dokter hewan, praktis perawatan satwa di kebun binatang tak dilakukan.

Masih dari sumber Kompas.com, perawatan hewan seperti pemberian obat cacing setiap tiga bulan sekali sudah tak dilakukan sejak tahun lalu. ""Jangankan untuk pengobatan, untuk pencegahan saja tidak ada sama sekali, dulu obat cacing diberikan tiga bulan sekali untuk seluruh binatang, sekarang tidak ada,"" jelasnya. - Gajah Yani di Kebun Binatang Bandung akhirnya mati pada hari Rabu, 11 Mei 2016 pukul 17.55 WIB - 
Rest In Peace, Yani..
Yesus berkata: ""Ya Bapa, ampunilah mereka, sebab mereka tidak tahu apa yang mereka perbuat"". (Lukas 23 : 34) ",[],73,[]
97,elisabethtrision,,[],44,['Ini dmna lis @elisabethtrision ?']
98,elisabethtrision,"Relawan Posko Banjir Jatiasih.
Like mother like daughter~ i'm proud to be Bataknese! Horas! ",[],39,"['Good adek awak @elisabethtrision ... btw yg punya warung teman gw beth..', '@chrisvilla7 Iya dong baang, banyak2in nolong orang selagi mampu oh yaa? Ku gatau bang haha']"
99,elisabethtrision,anotnya ka iis - anotnya ka ega ,[],29,"['Uuu gemaaaayy ', 'Kita udah berapa tahun si kak begini terus ?', 'Kayanya dari 2006 ya ga? @megajvh @fran_arnold_panggabean', 'Wow udah 10 tahun dong ? hebatt....', 'Dari @fran_arnold_panggabean kelas 6 SD. Brapa taun dah tuh', 'Iyaaa 11 taun kan ya nold? Hahahaha masih aja ya..', 'Dari 2005 dong yaaaaaaa @fran_arnold_panggabean @megajvh', 'Luar biasa yaahh...', 'Skrng udh pada pngn nikah ajeee wkwk', '@fran_arnold_panggabean ya wishnya sih #martumpol2019 wkwkkwk kalo lilis kapan lis~~', '2019 ka ? Woww ...  , 3 thn lagi ....', 'CALONNYA AJA DULU. 3 TAHUN GA LAMA  @megajvh @fran_arnold_panggabean', 'Hahaah ..  calon nya kme kak ?', '*kmana']"
100,elisabethtrision,"menggemaskan 
#shihtzu #minipom","['shihtzu', 'minipom']",29,"['Lelah banget kayanya yaa kak. Lucu banget kaaak.', 'Abis kuy keknya ya teler banget hahaha']"
101,elisabethtrision,Really love your smile! #FTISLAND #HONGKI ,"['ftisland', 'hongki']",25,[]
102,elisabethtrision,Karna hidup tanpa harapan adalah hidup yang kosong. #iamhopethemovie #onemillionhope #gelangharapan #iamhope #warriorofhope #spreadhope,"['iamhopethemovie', 'onemillionhope', 'gelangharapan', 'iamhope', 'warriorofhope', 'spreadhope']",36,"['beli dimana ya?', '@msmarcellaa halloo.. Bisa cek di TL @gelangharapan atau ke stand2 yg ada di XXI tertentu ^^', '@stefanivinanatalia @anastasa111 @yossy_febrina @dhiangrande @novikanatalia @liem_patrice25', 'Kaaakkk, ordernya gmnnn', '@wednesdyroulina aku kmren sih wa mreka nes, tapi ya harus sabar nunggu balesannya hahaha']"
103,elisabethtrision,"already time for sleep, huh? ",[],29,[]
104,elisabethtrision,#blessed ,['blessed'],36,"[""Terharu gue baca captionnya :'') wkwk"", 'Disesuaikan sama lokasi foto @megajvh', 'Hello2,suka sama gelang yang modelnya unique, simple dan elegant? Cobain deh @fondindonesia. Pengen custom order buat kompakan sama temen2 atau buat kamu sendiri bisa lho disini. Terimakasih yaa, semoga kamu semakin sukses dan bahagia ']"
105,elisabethtrision,"Another lovely package from @haengboghanshop  Thank you dear! 

#leehongkisignedalbum #leehongkisoloalbum #fm302 #leehongki #hongki #ftisland #korea #korean #koreanalbum","['leehongkisignedalbum', 'leehongkisoloalbum', 'fm302', 'leehongki', 'hongki', 'ftisland', 'korea', 'korean', 'koreanalbum']",27,['@elisabethtrision  thankyou sista ']
106,elisabethtrision,"Saya mendukung Kesejahteraan Hewan Cermin Jakarta Maju 
#khcjmDKI #KesejahteraanHewan #JakartaMaju #jakartaanimalaidnetwork #temanahok #dogsarenotfood","['khcjmdki', 'kesejahteraanhewan', 'jakartamaju', 'jakartaanimalaidnetwork', 'temanahok', 'dogsarenotfood']",37,['Me too ! @elisabethtrision @petchannel']
107,elisabethtrision,"Always satisfied with #haengboghanshop  because my order never pending and deliver with very detailed packaging  always work hard darling
#ftisland #seasongreetings #seasongreetings2016 #choijonghoon #jonghoon #leehongki #hongki #leejaejin #jaejin #choiminhwan #minhwan","['haengboghanshop', 'ftisland', 'seasongreetings', 'seasongreetings2016', 'choijonghoon', 'jonghoon', 'leehongki', 'hongki', 'leejaejin', 'jaejin', 'choiminhwan', 'minhwan']",30,['@elisabethtrision  thankyou sis']
108,elisabethtrision,Horas! ,[],31,[]
