,Akun,Post,Tag,Likes,Comments
63,risyahf,sunset + ka doy = ,[],141,['dasar bucin doy']
64,risyahf,iya siap! ,[],171,['Wkwkwkwk kasihan amat sih lu']
65,risyahf,"/11.11/ selamat ulang tahun ayah!
ily 3000",[],132,[]
66,risyahf,   :),[],172,"['  ', 'Inyong ora ngarti ceu @dadelial @risyahnabila', '   ', 'Ohh iya iya i lov u too', 'Itu kan arti nyaa?', ' ...   ,      ', '   .           ', '  ']"
67,raiihanav,"assalamualaikum ""Sesungguhnya kamu akan mati dan sesungguhnya mereka akan mati pula. (QS Az Zumar : 30). Setiap manusia akan mati,maka dari itu kita harus tau cara- cara mengurus jenazah , salah satunya adalah cara memandikan jenazah dengan baik dan benar.

Kami dari kelompok 2 x-ibb man 13 jakarta, inggin berbagi melalui vidio ini tata cara memandikan jenazah 
Tolong di maafkan apabilah ada yang salah ,karna manusia tidak luput dari kesalahan :) Wassalamualaikum *KELOMPOK 2*

@raiihanav
@bill.qs
@mufid226
@sia_avi
@salma.wsfh
@yasin.ibdrhmn
@hauyoongs
@ishmah.psari
@allyya.p

#man13jakarta
#praktekfiqih","['man13jakarta', 'praktekfiqih']",239,"['woy ngakak:(', 'Subhanallah', 'Anjay lah awkowkowko', 'anjay banget :(', 'Ea mupid', 'qis doi itu qis?', 'Mantappp', 'Kece bat gila', 'Uhuy', 'harusnya di caffe benne rai']"
68,raiihanav,See you on top!!,[],239,[]
69,raiihanav,Beautiful moment -150718-,[],249,"['Daehwii', 'See u next time', 'Lagi nggak tuh tar:v', 'Kk nonton?', 'Nonton cat berapa?', 'Waaaaa', 'gmna rasanya? :)', 'Anjasshh', 'unjusttt', ""asiq dah, kpala baejin sekecil apa dah?'-'""]"
70,anesco19_,"Coba tebak aku dimana ayooo makasih buat hari ini sukses selalu buat PMK UNJ
 #GOPRO #KEPANGFMIPA
@pmkfmipaunj","['gopro', 'kepangfmipa']",101,['Disituuu...']
71,anesco19_,"Aku cinta biologi
#chleoniamydas 
#AKUUNJ2019 
#pkkmbbiologi2019 
#aksisosial
#pedulilingkunganpedulibumi
#salamlestari #salamkonservasi
@bemf_mipaunj","['chleoniamydas', 'akuunj2019', 'pkkmbbiologi2019', 'aksisosial', 'pedulilingkunganpedulibumi', 'salamlestari', 'salamkonservasi']",23,[]
72,anesco19_,"Ketika jauh dari keluarga yang di rumah,Tuhan memberikan keluarga baru di sini...
#PMKFMIPA
#AKUUNJ2019
#batakinaja","['pmkfmipa', 'akuunj2019', 'batakinaja']",41,"['', ' wahh', 'Asikkkk']"
